level,num_start_user,winrate,drop,arpu,adrw,booster,exit_rate,adrw_per_user,booster_per_user
62,715,0.76,0.00,0.03715293378,253,126,0.02237762238,0.3538461538,0.1762237762
63,717,0.39,0.02,0.2026021651,620,785,0.01673640167,0.8647140865,1.094839609
64,706,0.82,0.02,0.05111905509,221,89,0.0283286119,0.3130311615,0.1260623229
65,692,0.57,0.02,0.0470006486,380,251,0.01734104046,0.549132948,0.362716763
66,681,0.86,0.00,0.03897849615,232,114,0.03671071953,0.3406754772,0.1674008811
67,692,0.08,0.15,0.2714792313,2258,3334,0.02601156069,3.26300578,4.817919075
68,591,0.69,0.01,0.03843147796,217,134,0.0152284264,0.3671742809,0.2267343486
69,583,0.67,0.01,0.04072120427,217,187,0.0154373928,0.372212693,0.320754717
70,577,0.35,0.02,0.1205518658,620,839,0.0259965338,1.074523397,1.45407279
71,563,0.81,0.01,0.05480096222,234,70,0.03019538188,0.4156305506,0.1243339254
72,555,0.63,0.01,0.04347192598,171,176,0.01621621622,0.3081081081,0.3171171171
73,551,0.60,0.00,0.04591167653,269,193,0.01996370236,0.4882032668,0.3502722323
74,549,0.24,0.01,0.1008582863,696,797,0.01821493625,1.267759563,1.451730419
75,544,0.12,0.11,0.1899253771,1363,2071,0.03676470588,2.505514706,3.806985294
76,485,0.60,0.01,0.06089076877,213,149,0.02268041237,0.4391752577,0.3072164948
77,482,0.63,0.00,0.04346848829,218,197,0.02697095436,0.4522821577,0.4087136929
78,485,0.21,0.02,0.09265955217,448,814,0.00412371134,0.9237113402,1.678350515
79,474,0.40,0.04,0.07073588187,408,610,0.02953586498,0.8607594937,1.286919831
80,456,0.65,0.01,0.04259030141,221,130,0.01315789474,0.4846491228,0.2850877193
81,453,0.73,0.01,0.04027476613,178,89,0.03752759382,0.3929359823,0.1964679912
82,447,0.45,0.00,0.1009844179,424,506,0.01342281879,0.9485458613,1.131991051
83,450,0.07,0.12,0.2916484759,1813,2478,0.002222222222,4.028888889,5.506666667
84,394,0.93,0.00,0.0435081788,85,35,0,0.2157360406,0.08883248731
85,393,0.69,0.00,0.0531590281,122,135,0.01781170483,0.31043257,0.3435114504
86,392,0.20,0.05,0.104449931,634,681,0.01275510204,1.617346939,1.737244898
87,372,0.36,0.01,0.1233074157,443,547,0.01344086022,1.190860215,1.470430108
88,370,0.04,0.15,0.3648819022,1785,1832,0,4.824324324,4.951351351
89,315,0.53,0.03,0.0727133205,178,263,0.02857142857,0.5650793651,0.8349206349
90,307,0.64,0.00,0.05853033108,237,116,0.00651465798,0.7719869707,0.3778501629
91,311,0.33,0.02,0.0796517107,319,302,0.006430868167,1.025723473,0.9710610932
92,304,0.37,0.03,0.1315707156,459,460,0.01644736842,1.509868421,1.513157895
93,294,0.80,0.00,0.03164251018,84,38,0.006802721088,0.2857142857,0.1292517007
94,300,0.93,0.00,0.03583370031,75,32,0.01,0.25,0.1066666667
95,299,0.39,0.02,0.0758892388,299,375,0.01003344482,1,1.254180602
96,294,0.06,0.11,0.3053823619,1343,1322,0.03741496599,4.568027211,4.496598639
97,262,0.90,0.00,0.03548417106,68,19,0.01526717557,0.2595419847,0.07251908397
98,264,0.66,0.01,0.0429348558,123,147,0.01136363636,0.4659090909,0.5568181818
99,262,0.26,0.03,0.08919764738,433,476,0.007633587786,1.652671756,1.816793893
100,255,0.08,0.11,0.283974217,1204,1414,0.007843137255,4.721568627,5.545098039
